time,seconds_elapsed,dBFS
1751121037508000000,0.02,-160
1751121037690000000,0.201999755859375,-172
1751121037795000000,0.307,-42
1751121037902000000,0.414000244140625,-44
1751121038019000000,0.531,-39
1751121038127000000,0.639,-42
1751121038238000000,0.750000244140625,-41
1751121038353000000,0.865,-40
1751121038471000000,0.983,-44
1751121282936000000,245.448,-43
1751121283076000000,245.588,-58
1751121283183000000,245.695,-59
1751121283360000000,245.872,-57
1751121283479000000,245.991,-59
1751121283606000000,246.11800024414063,-64
1751121283715000000,246.227,-59
1751121283823000000,246.335,-56
1751121283934000000,246.44600024414063,-60
1751121284041000000,246.553,-61
1751121284152000000,246.664,-55
1751121284261000000,246.773,-62
1751121284372000000,246.884,-56
1751121284478000000,246.99000024414062,-55
1751121284586000000,247.09799975585938,-55
