time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1751121039507000000,2.019,cellular,true,true,false,true,,,,,,4g,
1751121041501000000,4.013,cellular,true,true,false,true,,,,,,4g,
1751121043503000000,6.015,cellular,true,true,false,true,,,,,,4g,
1751121045508000000,8.02,cellular,true,true,false,true,,,,,,4g,
1751121047500000000,10.012,cellular,true,true,false,true,,,,,,4g,
1751121049504000000,12.016,cellular,true,true,false,true,,,,,,4g,
1751121051500000000,14.012,cellular,true,true,false,true,,,,,,4g,
1751121053503000000,16.015,cellular,true,true,false,true,,,,,,4g,
1751121055504000000,18.016,cellular,true,true,false,true,,,,,,4g,
1751121057505000000,20.017,cellular,true,true,false,true,,,,,,4g,
1751121059507000000,22.019,cellular,true,true,false,true,,,,,,4g,
1751121061508000000,24.02,cellular,true,true,false,true,,,,,,4g,
1751121063509000000,26.021,cellular,true,true,false,true,,,,,,4g,
1751121065510000000,28.022000244140624,cellular,true,true,false,true,,,,,,4g,
1751121067507000000,30.019,cellular,true,true,false,true,,,,,,4g,
1751121069506000000,32.01799975585938,cellular,true,true,false,true,,,,,,4g,
1751121071507000000,34.019,cellular,true,true,false,true,,,,,,4g,
1751121073509000000,36.021,cellular,true,true,false,true,,,,,,4g,
1751121075510000000,38.02200024414063,cellular,true,true,false,true,,,,,,4g,
1751121077511000000,40.023,cellular,true,true,false,true,,,,,,4g,
1751121079508000000,42.02,cellular,true,true,false,true,,,,,,4g,
1751121081510000000,44.02200024414063,cellular,true,true,false,true,,,,,,4g,
1751121083513000000,46.025,cellular,true,true,false,true,,,,,,4g,
1751121085514000000,48.025999755859374,cellular,true,true,false,true,,,,,,4g,
1751121087515000000,50.027,cellular,true,true,false,true,,,,,,4g,
1751121089513000000,52.025,cellular,true,true,false,true,,,,,,4g,
1751121091514000000,54.025999755859374,cellular,true,true,false,true,,,,,,4g,
1751121093516000000,56.028,cellular,true,true,false,true,,,,,,4g,
1751121095517000000,58.029,cellular,true,true,false,true,,,,,,4g,
1751121097518000000,60.03000024414062,cellular,true,true,false,true,,,,,,4g,
1751121099519000000,62.031,cellular,true,true,false,true,,,,,,4g,
1751121101519000000,64.031,cellular,true,true,false,true,,,,,,4g,
1751121103517000000,66.029,cellular,true,true,false,true,,,,,,4g,
1751121105518000000,68.03000024414062,cellular,true,true,false,true,,,,,,4g,
1751121107521000000,70.033,cellular,true,true,false,true,,,,,,4g,
1751121109520000000,72.032,cellular,true,true,false,true,,,,,,4g,
1751121111524000000,74.036,cellular,true,true,false,true,,,,,,4g,
1751121113523000000,76.035,cellular,true,true,false,true,,,,,,4g,
1751121115521000000,78.033,cellular,true,true,false,true,,,,,,4g,
1751121117524000000,80.036,cellular,true,true,false,true,,,,,,4g,
1751121119521000000,82.033,cellular,true,true,false,true,,,,,,4g,
1751121121524000000,84.036,cellular,true,true,false,true,,,,,,4g,
1751121123522000000,86.03399975585937,cellular,true,true,false,true,,,,,,4g,
1751121125524000000,88.036,cellular,true,true,false,true,,,,,,4g,
1751121127525000000,90.037,cellular,true,true,false,true,,,,,,4g,
1751121129527000000,92.039,cellular,true,true,false,true,,,,,,4g,
1751121131527000000,94.039,cellular,true,true,false,true,,,,,,4g,
1751121133528000000,96.04,cellular,true,true,false,true,,,,,,4g,
1751121135530000000,98.04199975585938,cellular,true,true,false,true,,,,,,4g,
1751121137530000000,100.04199975585938,cellular,true,true,false,true,,,,,,4g,
1751121139532000000,102.044,cellular,true,true,false,true,,,,,,4g,
1751121141530000000,104.04199975585938,cellular,true,true,false,true,,,,,,4g,
1751121143531000000,106.043,cellular,true,true,false,true,,,,,,4g,
1751121145532000000,108.044,cellular,true,true,false,true,,,,,,4g,
1751121147531000000,110.043,cellular,true,true,false,true,,,,,,4g,
1751121149537000000,112.049,cellular,true,true,false,true,,,,,,4g,
