time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1751121037488000000,0,-76,2412,[ESS],90:67:17:1a:08:15,BrcmAP0
1751121037488000000,0,-89,5320,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],84:9c:a4:c9:66:00,JioAirfiberA6
1751121037488000000,0,-82,2457,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],60:a4:b7:f8:81:81,TP-Link_8181
1751121037488000000,0,-88,2457,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],c4:70:0b:7e:9c:ee,DIGISOL
1751121037488000000,0,-89,2462,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],74:33:a6:1c:49:98,Om namah Shivay
1751121037488000000,0,-77,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],a0:91:ca:3a:f4:fa,Airtel_prak_3596
1751121037488000000,0,-82,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],de:58:16:36:10:3c,Aman's S24 FE
1751121037488000000,0,-71,2432,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],14:a7:2b:b7:a0:6d,FTTH-A06D
1751121037488000000,0,-76,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],ce:82:a9:f1:9e:97,AirFiber-5G
1751121037488000000,0,-77,5805,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],20:b5:c6:4c:36:78,JioAirfiberA6
1751121037488000000,0,-86,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],b0:95:75:89:ae:66,Vitthal nursery 
1751121037488000000,0,-62,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],34:0a:33:75:0a:d6,sainathcollection
1751121037488000000,0,-70,2452,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],68:d1:dc:13:10:d8,RCN-4G
1751121037488000000,0,-88,5220,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],ce:82:a9:f1:9e:98,AirFiber-5G
1751121037488000000,0,-84,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],00:17:7c:e3:dd:c6,Chikkoo-4G
1751121077513000000,40.025,-87,2437,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],b0:4e:26:9a:8f:19,AIR_TITAN_EXT
1751121077513000000,40.025,-88,2412,[RSN-SAE-CCMP][ESS][MFPR][MFPC],4a:bc:5d:c8:d3:90,OPPO A38
