time,seconds_elapsed,temperature
1751119141287000000,1.012,33.1
1751119142287000000,2.012,33.1
1751119143294000000,3.019000244140625,33.1
1751119144288000000,4.013,33.1
1751119145386000000,5.110999755859375,33.1
1751119146326000000,6.051000244140625,33.1
1751119147324000000,7.049,33.1
1751119148334000000,8.059000244140625,33.1
1751119149328000000,9.053,33.1
1751119150339000000,10.064,33.1
1751119151334000000,11.059000244140625,33.1
1751119152336000000,12.061,33.1
1751119153338000000,13.062999755859375,33.1
1751119154338000000,14.062999755859375,33.1
1751119155336000000,15.061,33.1
1751119156335000000,16.06,33.1
1751119157344000000,17.069,33.1
1751119158337000000,18.062,33.1
1751119159342000000,19.067000244140626,33.1
1751119160342000000,20.067000244140626,33.1
1751119161342000000,21.067000244140626,33.1
1751119162341000000,22.066,33.1
1751119163340000000,23.065,33.1
1751119164343000000,24.068,33.1
1751119165347000000,25.072,33.1
1751119166343000000,26.068,33.1
1751119167342000000,27.067000244140626,33.1
1751119168350000000,28.075000244140625,33.1
1751119169347000000,29.072,33.1
1751119170344000000,30.069,33.1
1751119171347000000,31.072,33.1
1751119172344000000,32.069,33.1
1751119173372000000,33.097,33.1
1751119174349000000,34.074,33.1
1751119175349000000,35.074,33.1
1751119176356000000,36.081,33.1
1751119177353000000,37.078,33.1
1751119178357000000,38.082,33.1
1751119179352000000,39.077,33
1751119180354000000,40.07899975585938,33
1751119181356000000,41.081,33
1751119182357000000,42.082,33
1751119183355000000,43.08,33
1751119184358000000,44.08300024414063,33
1751119185357000000,45.082,33
1751119186356000000,46.081,33
1751119187358000000,47.08300024414063,33
1751119188360000000,48.085,33
1751119189360000000,49.085,33
1751119190360000000,50.085,33
1751119191366000000,51.09100024414062,33
1751119192365000000,52.09,33
1751119193367000000,53.092,33
1751119194370000000,54.09499975585938,33
1751119195367000000,55.092,33
1751119196371000000,56.096,33
1751119197369000000,57.094,33
1751119198367000000,58.092,33
1751119199385000000,59.11,33
1751119200368000000,60.093,33
1751119201367000000,61.092,33
1751119202368000000,62.093,33
1751119203373000000,63.098,33
1751119204375000000,64.1,33
1751119205376000000,65.101,33
1751119206375000000,66.1,33
1751119207416000000,67.141,33
1751119208384000000,68.109,33
1751119209378000000,69.10299975585937,33
1751119210380000000,70.105,32.9
1751119211387000000,71.112,32.9
1751119212384000000,72.109,32.9
1751119213387000000,73.112,32.9
1751119214387000000,74.112,32.9
1751119215388000000,75.113,32.9
1751119216384000000,76.109,32.9
1751119217390000000,77.11500024414063,32.9
1751119218391000000,78.116,32.9
1751119219388000000,79.113,32.9
1751119220388000000,80.113,32.9
1751119221394000000,81.11899975585938,32.9
1751119222394000000,82.11899975585938,32.9
1751119223393000000,83.118,32.9
1751119224398000000,84.12300024414063,32.9
1751119225395000000,85.12,32.9
1751119226398000000,86.12300024414063,32.9
1751119227403000000,87.128,32.9
1751119228396000000,88.121,32.9
1751119229399000000,89.124,32.9
1751119230397000000,90.122,32.9
1751119231400000000,91.125,32.9
1751119232399000000,92.124,32.9
1751119233400000000,93.125,32.9
1751119234403000000,94.128,32.9
1751119235401000000,95.126,32.9
1751119236408000000,96.133,32.9
1751119237407000000,97.132,32.9
1751119238409000000,98.134,32.9
1751119239403000000,99.128,32.9
1751119240412000000,100.137,32.9
1751119241406000000,101.13100024414062,32.9
1751119242408000000,102.133,32.9
1751119243406000000,103.13100024414062,32.9
1751119244408000000,104.133,32.9
1751119245412000000,105.137,32.9
1751119246408000000,106.133,32.9
1751119247413000000,107.138,32.9
1751119248418000000,108.14299975585938,32.9
1751119249413000000,109.138,32.9
1751119250416000000,110.141,32.9
1751119251410000000,111.13499975585937,32.9
1751119252411000000,112.136,32.9
1751119253422000000,113.14700024414063,32.9
1751119254416000000,114.141,32.9
1751119255417000000,115.142,32.9
1751119256415000000,116.14,32.9
1751119257414000000,117.13900024414062,32.9
1751119258427000000,118.152,32.9
1751119259417000000,119.142,32.9
1751119260419000000,120.144,32.9
1751119261423000000,121.148,32.9
1751119262421000000,122.146,32.9
1751119263420000000,123.145,32.9
1751119264429000000,124.154,32.9
1751119265423000000,125.148,32.9
1751119266425000000,126.15,32.9
1751119267426000000,127.15099975585937,32.9
1751119268422000000,128.14700024414063,32.9
1751119269423000000,129.148,32.9
1751119270423000000,130.148,32.9
1751119271422000000,131.14700024414063,32.9
1751119272430000000,132.15500024414064,32.9
1751119273426000000,133.15099975585937,32.9
1751119274430000000,134.15500024414064,32.9
1751119275430000000,135.15500024414064,32.9
1751119276428000000,136.153,32.9
1751119277440000000,137.165,32.9
1751119278430000000,138.15500024414064,32.9
1751119279431000000,139.156,32.9
1751119280435000000,140.16,32.9
1751119281431000000,141.156,32.9
1751119282431000000,142.156,32.9
1751119283433000000,143.158,32.9
1751119284433000000,144.158,32.9
1751119285437000000,145.162,32.9
1751119286436000000,146.161,32.9
1751119287437000000,147.162,32.9
1751119288439000000,148.164,32.9
1751119289440000000,149.165,32.9
1751119290442000000,150.16699975585936,32.9
1751119291441000000,151.166,32.9
1751119292439000000,152.164,32.9
1751119293443000000,153.168,32.9
1751119294442000000,154.16699975585936,32.9
1751119295445000000,155.17,32.9
1751119296444000000,156.169,32.9
1751119297447000000,157.172,32.9
1751119298444000000,158.169,32.9
1751119299441000000,159.166,32.9
1751119300445000000,160.17,32.9
1751119301448000000,161.173,32.9
1751119302452000000,162.177,32.9
1751119303446000000,163.17100024414063,32.9
1751119304451000000,164.176,32.9
1751119305447000000,165.172,32.9
1751119306457000000,166.182,32.9
1751119307450000000,167.17499975585937,32.9
1751119308449000000,168.174,32.9
1751119309450000000,169.17499975585937,32.9
1751119310453000000,170.178,32.9
1751119311453000000,171.178,32.9
1751119312452000000,172.177,32.9
1751119313455000000,173.18,32.9
1751119314457000000,174.182,32.9
1751119315456000000,175.181,32.9
1751119316454000000,176.17900024414064,32.9
1751119317462000000,177.18700024414062,32.9
1751119318455000000,178.18,32.9
1751119319456000000,179.181,32.9
1751119320459000000,180.184,32.9
1751119321459000000,181.184,32.9
1751119322460000000,182.185,32.9
1751119323471000000,183.196,32.9
1751119324468000000,184.193,32.9
1751119325463000000,185.188,32.9
1751119326465000000,186.19,32.9
1751119327469000000,187.194,32.9
1751119328466000000,188.19099975585937,32.9
1751119329469000000,189.194,32.9
1751119330474000000,190.19899975585938,32.9
1751119331472000000,191.197,32.9
1751119332474000000,192.19899975585938,32.9
1751119333472000000,193.197,32.9
1751119334479000000,194.204,32.9
1751119335481000000,195.206,32.9
1751119336477000000,196.202,32.9
1751119337479000000,197.204,32.9
1751119338486000000,198.21100024414062,32.9
1751119339483000000,199.208,32.9
1751119340479000000,200.204,32.9
1751119341485000000,201.21,32.9
1751119342483000000,202.208,32.9
1751119343484000000,203.209,32.9
1751119344483000000,204.208,32.9
1751119345483000000,205.208,32.9
1751119346486000000,206.21100024414062,32.9
1751119347483000000,207.208,32.9
1751119348484000000,208.209,32.9
1751119349492000000,209.217,32.9
1751119350488000000,210.213,32.9
1751119351489000000,211.214,32.9
1751119352491000000,212.216,32.9
1751119353495000000,213.22,32.9
1751119354490000000,214.21499975585937,32.9
1751119355494000000,215.21900024414063,32.9
1751119356497000000,216.222,32.9
1751119357496000000,217.221,32.9
1751119358499000000,218.224,32.9
1751119359499000000,219.224,32.9
1751119360499000000,220.224,32.9
1751119361505000000,221.23,32.9
1751119362504000000,222.229,32.9
1751119363505000000,223.23,32.9
1751119364505000000,224.23,32.9
1751119365509000000,225.234,32.9
1751119366506000000,226.2309997558594,32.9
1751119367506000000,227.2309997558594,32.9
1751119368503000000,228.228,32.9
1751119369503000000,229.228,32.9
1751119370509000000,230.234,32.9
1751119371510000000,231.23500024414062,32.9
1751119372514000000,232.23899975585937,32.9
1751119373510000000,233.23500024414062,32.9
1751119374510000000,234.23500024414062,32.9
1751119375510000000,235.23500024414062,32.9
1751119376512000000,236.237,32.9
1751119377509000000,237.234,32.9
1751119378514000000,238.23899975585937,32.9
1751119379512000000,239.237,32.9
1751119380510000000,240.23500024414062,32.9
1751119381516000000,241.241,32.9
1751119382512000000,242.237,32.9
1751119383522000000,243.24699975585938,32.9
1751119384517000000,244.242,32.9
1751119385515000000,245.24,32.9
1751119386519000000,246.244,32.9
1751119387518000000,247.24300024414063,32.9
1751119388518000000,248.24300024414063,32.9
1751119389522000000,249.24699975585938,32.9
1751119390520000000,250.245,32.9
1751119391521000000,251.246,32.9
1751119392525000000,252.25,32.9
1751119393523000000,253.248,32.9
1751119394525000000,254.25,32.9
1751119395529000000,255.254,32.9
1751119396525000000,256.25,32.9
1751119397529000000,257.254,32.9
1751119398526000000,258.25100024414064,32.9
1751119399527000000,259.252,32.9
1751119400529000000,260.254,32.9
1751119401531000000,261.256,32.9
1751119402529000000,262.254,32.9
1751119403538000000,263.26299975585937,32.9
1751119404532000000,264.257,32.9
1751119405534000000,265.2590002441406,32.9
1751119406532000000,266.257,32.9
1751119407532000000,267.257,32.9
1751119408531000000,268.256,32.9
1751119409534000000,269.2590002441406,32.9
1751119410532000000,270.257,32.9
1751119411535000000,271.26,32.9
1751119412539000000,272.264,32.9
1751119413536000000,273.261,32.9
1751119414538000000,274.26299975585937,32.9
1751119415540000000,275.265,32.9
1751119416543000000,276.268,32.9
1751119417542000000,277.2670002441406,32.9
1751119418538000000,278.26299975585937,32.9
1751119419542000000,279.2670002441406,32.9
1751119420547000000,280.272,32.9
1751119421546000000,281.27099975585935,32.9
1751119422550000000,282.27500024414064,32.9
1751119423549000000,283.274,32.9
1751119424551000000,284.276,32.9
1751119425558000000,285.2830002441406,32.9
1751119426555000000,286.28,32.9
1751119427553000000,287.278,32.9
1751119428552000000,288.277,32.9
1751119429557000000,289.282,32.9
1751119430553000000,290.278,32.9
1751119431563000000,291.288,32.9
1751119432559000000,292.284,32.9
1751119433564000000,293.289,32.9
1751119434564000000,294.289,32.9
1751119435562000000,295.28699975585937,32.9
1751119436566000000,296.2910002441406,32.9
1751119437562000000,297.28699975585937,32.9
1751119438562000000,298.28699975585937,32.9
1751119439565000000,299.29,32.9
1751119440570000000,300.29499975585935,32.9
1751119441568000000,301.293,32.9
1751119442567000000,302.292,32.9
1751119443575000000,303.3,32.9
1751119444567000000,304.292,32.9
1751119445567000000,305.292,33
1751119446573000000,306.298,33
1751119447570000000,307.29499975585935,33
1751119448574000000,308.29900024414064,33
1751119449574000000,309.29900024414064,33
1751119450580000000,310.305,33
1751119451574000000,311.29900024414064,33
1751119452572000000,312.297,33
1751119453575000000,313.3,33
1751119454574000000,314.29900024414064,33
1751119455574000000,315.29900024414064,33
1751119456580000000,316.305,33
1751119457584000000,317.309,33
1751119458577000000,318.302,33
1751119459580000000,319.305,33
1751119460580000000,320.305,33
1751119461579000000,321.304,33
1751119462580000000,322.305,33
1751119463582000000,323.3070002441406,33
1751119464580000000,324.305,33
1751119465587000000,325.312,33
1751119466582000000,326.3070002441406,33
1751119467587000000,327.312,33
1751119468585000000,328.31,33
1751119469588000000,329.313,33
1751119470587000000,330.312,33
1751119471592000000,331.317,33
1751119472590000000,332.3150002441406,33
1751119473592000000,333.317,33
1751119474596000000,334.321,33
1751119475640000000,335.365,33
1751119476594000000,336.31899975585935,33
1751119477593000000,337.318,33
1751119478601000000,338.326,33
1751119479596000000,339.321,33
1751119480599000000,340.324,33
1751119481601000000,341.326,33
1751119482599000000,342.324,33
1751119483602000000,343.3269997558594,33
1751119484600000000,344.325,33
1751119485606000000,345.3310002441406,33
1751119486601000000,346.326,33
1751119487599000000,347.324,33
1751119488610000000,348.33499975585937,33
1751119489607000000,349.332,33
1751119490603000000,350.328,33
1751119491611000000,351.336,33
1751119492608000000,352.333,33
1751119493607000000,353.332,33
1751119494611000000,354.336,33
1751119495608000000,355.333,33
1751119496611000000,356.336,33
