time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1751119140275000000,0,-77,2437,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:17:7c:73:f9:e0,SAU
1751119140275000000,0,-88,2447,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],98:9d:b2:32:c2:73,AKKI
1751119140275000000,0,-87,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:07:b6:13:31:04,MAU7707
1751119180302000000,40.02700024414062,-85,2437,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:17:7c:73:f9:e0,SAU
1751119180302000000,40.02700024414062,-92,2432,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],e8:65:d4:2f:8e:40,_MAU
1751119180302000000,40.02700024414062,-88,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:07:b6:13:31:04,MAU7707
1751119220303000000,80.028,-85,2437,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:17:7c:73:f9:e0,SAU
1751119220303000000,80.028,-88,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:07:b6:13:31:04,MAU7707
1751119260302000000,120.02700024414062,-82,2437,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:17:7c:73:f9:e0,SAU
1751119260302000000,120.02700024414062,-91,2432,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],e8:65:d4:2f:8e:40,_MAU
1751119260302000000,120.02700024414062,-87,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:07:b6:13:31:04,MAU7707
1751119300306000000,160.03099975585937,-75,2437,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:17:7c:73:f9:e0,SAU
1751119300306000000,160.03099975585937,-91,2432,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],e8:65:d4:2f:8e:40,_MAU
1751119340304000000,200.029,-79,2437,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:17:7c:73:f9:e0,SAU
1751119340304000000,200.029,-91,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:07:b6:13:31:04,MAU7707
1751119380307000000,240.032,-72,2437,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:17:7c:73:f9:e0,SAU
1751119380307000000,240.032,-88,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:07:b6:13:31:04,MAU7707
