time,seconds_elapsed,temperature
1751120211883000000,1.142,31.4
1751120212885000000,2.144,31.4
1751120213859000000,3.118,31.4
1751120214854000000,4.113000244140625,31.4
1751120215853000000,5.112,31.4
1751120216856000000,6.115,31.4
1751120217857000000,7.116,31.4
1751120218854000000,8.113000244140625,31.4
1751120219855000000,9.114,31.4
1751120220855000000,10.114,31.4
1751120221860000000,11.119,31.4
1751120222857000000,12.116,31.4
1751120223861000000,13.12,31.4
1751120224861000000,14.12,31.4
1751120225861000000,15.12,31.4
1751120226865000000,16.124,31.4
1751120227863000000,17.122,31.3
1751120228865000000,18.124,31.3
1751120229932000000,19.191,31.3
1751120230868000000,20.127,31.3
1751120231864000000,21.123,31.3
1751120232866000000,22.124999755859374,31.3
1751120233867000000,23.126,31.3
1751120234872000000,24.131,31.3
1751120235876000000,25.135,31.3
1751120236873000000,26.132,31.3
1751120237871000000,27.13,31.3
1751120238878000000,28.137000244140626,31.3
1751120239872000000,29.131,31.3
1751120240879000000,30.138,31.3
1751120241875000000,31.134,31.3
1751120242875000000,32.134,31.3
1751120243885000000,33.144,31.3
1751120244884000000,34.143,31.3
1751120245890000000,35.14899975585938,31.3
1751120246883000000,36.142,31.3
1751120247884000000,37.143,31.3
1751120248889000000,38.148,31.3
1751120249883000000,39.142,31.3
1751120250883000000,40.142,31.3
1751120251893000000,41.152,31.3
1751120252883000000,42.142,31.3
1751120253896000000,43.155,31.3
1751120254884000000,44.143,31.3
1751120255891000000,45.15,31.3
1751120256886000000,46.145000244140626,31.3
1751120257888000000,47.147,31.3
1751120258898000000,48.156999755859374,31.3
1751120259894000000,49.15300024414063,31.3
1751120260893000000,50.152,31.3
1751120261901000000,51.16,31.3
1751120262902000000,52.161000244140624,31.3
1751120263900000000,53.159,31.3
1751120264899000000,54.158,31.3
1751120265901000000,55.16,31.3
1751120266901000000,56.16,31.3
1751120267901000000,57.16,31.3
1751120268904000000,58.163,31.3
1751120269903000000,59.162,31.3
1751120270902000000,60.161000244140624,31.3
1751120271904000000,61.163,31.3
1751120272906000000,62.16499975585938,31.3
1751120273912000000,63.171,31.3
1751120274915000000,64.174,31.3
1751120275912000000,65.171,31.3
1751120276908000000,66.167,31.3
1751120277908000000,67.167,31.3
1751120278910000000,68.16900024414062,31.3
1751120279908000000,69.167,31.3
1751120280910000000,70.16900024414062,31.3
1751120281913000000,71.172,31.3
1751120282910000000,72.16900024414062,31.3
1751120283920000000,73.179,31.3
1751120284911000000,74.17,31.3
1751120285913000000,75.172,31.3
1751120286925000000,76.184,31.3
1751120287917000000,77.176,31.3
1751120288915000000,78.174,31.3
1751120289915000000,79.174,31.2
1751120290917000000,80.176,31.2
1751120291918000000,81.17700024414063,31.2
1751120292915000000,82.174,31.2
1751120293918000000,83.17700024414063,31.2
1751120294927000000,84.186,31.2
1751120295926000000,85.18500024414062,31.2
1751120296930000000,86.18899975585937,31.2
1751120297926000000,87.18500024414062,31.2
1751120298933000000,88.192,31.2
1751120299930000000,89.18899975585937,31.2
1751120300931000000,90.19,31.2
1751120301931000000,91.19,31.2
1751120302930000000,92.18899975585937,31.2
1751120303930000000,93.18899975585937,31.2
1751120304933000000,94.192,31.2
1751120305934000000,95.19300024414062,31.2
1751120306934000000,96.19300024414062,31.2
1751120307933000000,97.192,31.2
1751120308934000000,98.19300024414062,31.2
1751120309936000000,99.195,31.2
1751120310936000000,100.195,31.2
1751120311936000000,101.195,31.2
1751120312936000000,102.195,31.2
1751120313934000000,103.19300024414062,31.2
1751120314938000000,104.19699975585938,31.2
1751120315937000000,105.196,31.2
1751120316939000000,106.198,31.2
1751120317937000000,107.196,31.2
1751120318938000000,108.19699975585938,31.2
1751120319939000000,109.198,31.2
1751120320939000000,110.198,31.2
1751120321939000000,111.198,31.2
1751120322944000000,112.203,31.2
1751120323943000000,113.202,31.2
1751120324943000000,114.202,31.2
1751120325940000000,115.199,31.2
1751120326944000000,116.203,31.2
1751120327945000000,117.204,31.2
1751120328944000000,118.203,31.2
1751120329946000000,119.20499975585938,31.2
1751120330945000000,120.204,31.3
1751120331945000000,121.204,31.3
1751120332948000000,122.207,31.3
1751120333947000000,123.206,31.3
1751120334947000000,124.206,31.3
1751120335949000000,125.208,31.3
1751120336950000000,126.20900024414063,31.3
1751120337949000000,127.208,31.3
1751120338949000000,128.208,31.3
1751120340085000000,129.344,31.3
1751120341072000000,130.331,31.3
1751120342070000000,131.32900024414062,31.3
1751120343071000000,132.33,31.3
1751120344072000000,133.331,31.3
1751120345073000000,134.332,31.3
