time,seconds_elapsed,dBFS
1751120210742000000,0.001000244140625,-160
1751120210915000000,0.174,-160
1751120211018000000,0.276999755859375,-72
1751120211136000000,0.395,-61
1751120211254000000,0.513000244140625,-54
1751120211371000000,0.63,-55
1751120211488000000,0.747,-51
1751120341041000000,130.3,-44
1751120341163000000,130.422,-48
1751120341281000000,130.54,-42
1751120341436000000,130.695,-43
1751120341557000000,130.816,-51
1751120341677000000,130.936,-54
1751120341787000000,131.046,-34
1751120341894000000,131.15300024414063,-47
1751120342003000000,131.262,-43
1751120342112000000,131.371,-50
1751120342222000000,131.48100024414063,-55
1751120342330000000,131.58899975585936,-49
1751120342440000000,131.699,-38
1751120342549000000,131.808,-42
1751120342658000000,131.91699975585936,-43
1751120342788000000,132.047,-39
1751120342893000000,132.152,-36
1751120343004000000,132.263,-37
1751120343111000000,132.37,-33
1751120343222000000,132.48100024414063,-40
1751120343330000000,132.58899975585936,-31
1751120343441000000,132.7,-39
1751120343550000000,132.80900024414063,-37
1751120343659000000,132.918,-31
1751120343766000000,133.0250002441406,-47
1751120343875000000,133.134,-33
1751120343986000000,133.24499975585937,-42
1751120344093000000,133.352,-38
1751120344203000000,133.462,-52
1751120344311000000,133.57,-41
1751120344422000000,133.68100024414062,-39
1751120344529000000,133.788,-48
1751120344639000000,133.898,-52
1751120344747000000,134.006,-41
1751120344857000000,134.116,-56
1751120344966000000,134.22500024414063,-50
1751120345076000000,134.335,-42
