time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1751120210741000000,0,-83,2447,[ESS],98:9d:b2:2b:61:1b,BSNLWiFi_Roaming
1751120210741000000,0,-93,2472,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],ce:92:db:e8:69:64,TECNO SPARK Go 1
1751120210741000000,0,-88,2432,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],14:a7:2b:b7:a0:6d,FTTH-A06D
1751120210741000000,0,-89,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],ce:82:a9:f1:9e:97,AirFiber-5G
1751120210741000000,0,-88,2432,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],4c:ae:1c:39:5b:81,KAJAL
1751120210741000000,0,-88,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],34:0a:33:75:0a:d6,sainathcollection
1751120210741000000,0,-77,2457,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],60:a4:b7:f8:81:81,TP-Link_8181
1751120210741000000,0,-76,2462,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],74:33:a6:1c:49:98,Om namah Shivay
1751120210741000000,0,-83,5260,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],74:33:a6:1c:49:99,Om gan ganpatea5G
1751120210741000000,0,-81,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],00:17:7c:e3:de:26,Matoshree Printers-4G
1751120210741000000,0,-91,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],a0:91:ca:3a:f4:fa,Airtel_prak_3596
1751120250768000000,40.027,-88,2472,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],68:d1:e2:23:42:38,AMIT
1751120250768000000,40.027,-88,2437,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],2e:db:67:79:52:20,POCO C51
1751120250768000000,40.027,-81,2412,[ESS],90:67:17:1a:08:15,BrcmAP0
1751120250768000000,40.027,-88,5280,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],14:09:dc:00:40:12,WFG-5G
1751120250768000000,40.027,-84,5200,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],a0:91:ca:3a:f4:fb,Airtel_prak_3596
1751120250768000000,40.027,-86,2457,[WPA-PSK-CCMP][ESS][WPS],d8:0d:17:58:6e:12,DKTYRE
1751120250768000000,40.027,-74,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],a0:91:ca:3a:f4:fa,Airtel_prak_3596
1751120250768000000,40.027,-85,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],00:17:7c:e3:de:26,Matoshree Printers-4G
1751120250768000000,40.027,-75,2457,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7c:f1:7e:6e:17:58,TP-Link_1758
1751120250768000000,40.027,-66,2432,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],14:a7:2b:b7:a0:6d,FTTH-A06D
1751120250768000000,40.027,-68,5805,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],20:b5:c6:4c:36:78,JioAirfiberA6
1751120250768000000,40.027,-58,2437,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],c6:9d:38:5a:a5:4e,OPPO A3 Pro 5G
1751120250768000000,40.027,-90,2412,[ESS],90:67:17:17:12:cd,BrcmAP0
1751120250768000000,40.027,-86,5200,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],b6:91:ca:3a:f4:fb,(hidden SSID)
1751120250768000000,40.027,-65,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],34:0a:33:75:0a:d6,sainathcollection
1751120250768000000,40.027,-87,2412,[ESS],70:6d:ec:01:28:f9,KIVI
1751120250768000000,40.027,-84,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],96:6f:58:0d:27:95,Galaxy A35 5G C30A
1751120250768000000,40.027,-90,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],70:6d:ec:01:28:f8,(hidden SSID)
1751120250768000000,40.027,-83,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS],30:26:b6:77:77:65,W00_1524583486
1751120250768000000,40.027,-84,5200,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],b2:91:ca:3a:f4:fb,(hidden SSID)
1751120250768000000,40.027,-80,5220,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:6b:56:de,Akshay7789
1751120250768000000,40.027,-93,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],0e:0a:25:40:5e:f3,Redmi Note 12 5G
1751120250768000000,40.027,-75,2427,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],40:ae:30:2d:17:86,TP-Link_1786
1751120290767000000,80.026,-76,5805,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],20:b5:c6:4c:36:78,JioAirfiberA6
1751120290767000000,80.026,-85,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],a6:c9:39:1d:df:8f,.suradkar.
1751120290767000000,80.026,-91,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:ba:38:c7,NASHIK HADWARE
1751120290767000000,80.026,-88,5785,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:ba:38:c8,NASHIK HADWARE
1751120290767000000,80.026,-68,2437,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],be:d9:bc:fa:be:67,Redmi A1
1751120290767000000,80.026,-88,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],e0:1c:fc:f5:f6:4a,D112
1751120290767000000,80.026,-86,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],e2:ac:a3:45:a7:61,Hemant's Z Fold5
1751120290767000000,80.026,-85,5825,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],28:0f:eb:dd:82:13,RENAULT_0466         
1751120290767000000,80.026,-90,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:6b:56:dd,Akshay7789
1751120290767000000,80.026,-92,5220,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:6b:56:de,Akshay7789
1751120290767000000,80.026,-82,2462,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],1c:ef:03:3c:04:39,Nagares Shraddha Car Mall
1751120330764000000,120.023,-90,2412,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],62:4c:6c:a9:6c:5d,AndroidAP_5365
1751120330764000000,120.023,-89,2472,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],68:d1:e2:23:42:38,AMIT
1751120330764000000,120.023,-90,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],00:27:15:76:19:26,FX_K26N40
1751120330764000000,120.023,-83,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:ba:38:c7,NASHIK HADWARE
1751120330764000000,120.023,-73,5785,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:ba:38:c8,NASHIK HADWARE
1751120330764000000,120.023,-88,2437,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],be:d9:bc:fa:be:67,Redmi A1
1751120330764000000,120.023,-87,2457,[WPA-PSK-CCMP][ESS][WPS],d8:0d:17:58:6e:12,DKTYRE
1751120330764000000,120.023,-71,5805,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],20:b5:c6:4c:36:78,JioAirfiberA6
1751120330764000000,120.023,-83,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],a6:c9:39:1d:df:8f,.suradkar.
1751120330764000000,120.023,-91,2432,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],14:a7:2b:b7:a0:6d,FTTH-A06D
1751120330764000000,120.023,-87,5745,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],06:c8:81:ff:1b:42,MahindraQ71020625
1751120330764000000,120.023,-88,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS],30:26:b6:77:77:65,W00_1524583486
1751120330764000000,120.023,-72,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:6b:56:dd,Akshay7789
1751120330764000000,120.023,-80,5220,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:6b:56:de,Akshay7789
1751120330764000000,120.023,-91,2447,[ESS],68:d1:c3:18:37:f8,ssid1
