time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1751119825592000000,2.014,cellular,true,true,false,true,,,,,,4g,
1751119827589000000,4.011,cellular,true,true,false,true,,,,,,4g,
1751119829595000000,6.017,cellular,true,true,false,true,,,,,,4g,
1751119831594000000,8.015999755859376,cellular,true,true,false,true,,,,,,4g,
1751119833595000000,10.017,cellular,true,true,false,true,,,,,,4g,
1751119835603000000,12.025,cellular,true,true,false,true,,,,,,4g,
1751119837595000000,14.017,cellular,true,true,false,true,,,,,,4g,
1751119839597000000,16.019,cellular,true,true,false,true,,,,,,4g,
1751119841597000000,18.019,cellular,true,true,false,true,,,,,,4g,
1751119843598000000,20.020000244140626,cellular,true,true,false,true,,,,,,4g,
1751119845598000000,22.020000244140626,cellular,true,true,false,true,,,,,,4g,
1751119847599000000,24.021,cellular,true,true,false,true,,,,,,4g,
1751119849599000000,26.021,cellular,true,true,false,true,,,,,,4g,
1751119851600000000,28.022,cellular,true,true,false,true,,,,,,4g,
1751119853601000000,30.023,cellular,true,true,false,true,,,,,,4g,
1751119855602000000,32.02399975585938,cellular,true,true,false,true,,,,,,4g,
1751119857603000000,34.025,cellular,true,true,false,true,,,,,,4g,
1751119859602000000,36.02399975585938,cellular,true,true,false,true,,,,,,4g,
1751119861603000000,38.025,cellular,true,true,false,true,,,,,,4g,
1751119863603000000,40.025,cellular,true,true,false,true,,,,,,4g,
1751119865606000000,42.02800024414063,cellular,true,true,false,true,,,,,,4g,
1751119867603000000,44.025,cellular,true,true,false,true,,,,,,4g,
1751119869606000000,46.02800024414063,cellular,true,true,false,true,,,,,,4g,
1751119871608000000,48.03,cellular,true,true,false,true,,,,,,4g,
1751119873609000000,50.031,cellular,true,true,false,true,,,,,,4g,
1751119875608000000,52.03,cellular,true,true,false,true,,,,,,4g,
1751119877608000000,54.03,cellular,true,true,false,true,,,,,,4g,
1751119879611000000,56.033,cellular,true,true,false,true,,,,,,4g,
1751119881612000000,58.034,cellular,true,true,false,true,,,,,,4g,
1751119883610000000,60.031999755859374,cellular,true,true,false,true,,,,,,4g,
1751119885610000000,62.031999755859374,cellular,true,true,false,true,,,,,,4g,
1751119887615000000,64.037,cellular,true,true,false,true,,,,,,4g,
1751119889616000000,66.038,cellular,true,true,false,true,,,,,,4g,
1751119891614000000,68.03600024414062,cellular,true,true,false,true,,,,,,4g,
1751119893618000000,70.03999975585937,cellular,true,true,false,true,,,,,,4g,
1751119895615000000,72.037,cellular,true,true,false,true,,,,,,4g,
1751119897616000000,74.038,cellular,true,true,false,true,,,,,,4g,
1751119899617000000,76.039,cellular,true,true,false,true,,,,,,4g,
1751119901617000000,78.039,cellular,true,true,false,true,,,,,,4g,
1751119903617000000,80.039,cellular,true,true,false,true,,,,,,4g,
1751119905618000000,82.03999975585937,cellular,true,true,false,true,,,,,,4g,
1751119907619000000,84.041,cellular,true,true,false,true,,,,,,4g,
1751119909619000000,86.041,cellular,true,true,false,true,,,,,,4g,
1751119911619000000,88.041,cellular,true,true,false,true,,,,,,4g,
1751119913621000000,90.043,cellular,true,true,false,true,,,,,,4g,
1751119915624000000,92.046,cellular,true,true,false,true,,,,,,4g,
1751119917624000000,94.046,cellular,true,true,false,true,,,,,,4g,
1751119919622000000,96.04400024414062,cellular,true,true,false,true,,,,,,4g,
1751119921623000000,98.045,cellular,true,true,false,true,,,,,,4g,
1751119923624000000,100.046,cellular,true,true,false,true,,,,,,4g,
1751119925625000000,102.047,cellular,true,true,false,true,,,,,,4g,
1751119927624000000,104.046,cellular,true,true,false,true,,,,,,4g,
1751119929628000000,106.05,cellular,true,true,false,true,,,,,,4g,
1751119931634000000,108.05599975585938,cellular,true,true,false,true,,,,,,4g,
1751119933629000000,110.051,cellular,true,true,false,true,,,,,,4g,
1751119935627000000,112.049,cellular,true,true,false,true,,,,,,4g,
1751119937627000000,114.049,cellular,true,true,false,true,,,,,,4g,
1751119939629000000,116.051,cellular,true,true,false,true,,,,,,4g,
1751119941629000000,118.051,cellular,true,true,false,true,,,,,,4g,
1751119943630000000,120.05200024414063,cellular,true,true,false,true,,,,,,4g,
1751119945633000000,122.055,cellular,true,true,false,true,,,,,,4g,
1751119947836000000,124.258,cellular,true,true,false,true,,,,,,4g,
1751119949802000000,126.22399975585938,cellular,true,true,false,true,,,,,,4g,
