time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1751119823578000000,-2.44140625e-7,-89,2437,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],54:a2:45:01:fe:d0,Sohel Shaikh
1751119823578000000,-2.44140625e-7,-88,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:44:89:7f:08:b0,Diparadise 
1751119823578000000,-2.44140625e-7,-78,2422,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],8c:c7:c3:22:fc:46,Gurukurpa
1751119823578000000,-2.44140625e-7,-79,2422,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],d0:1e:1d:51:87:5b,Gajanan Super Market-2.4G
1751119823578000000,-2.44140625e-7,-88,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],a4:fc:a1:15:69:4a,Airtel_hema_8410
1751119823578000000,-2.44140625e-7,-77,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],70:b6:4f:6e:46:9f,DIGISOL
1751119823578000000,-2.44140625e-7,-81,5280,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],74:33:a6:1b:62:39,Wisdom_Educare
1751119823578000000,-2.44140625e-7,-81,2457,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:07:b6:3d:3a:d0,Samarth B.Ed College
1751119823578000000,-2.44140625e-7,-79,2462,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],74:33:a6:1b:62:38,2.4G-1B6238
1751119823578000000,-2.44140625e-7,-88,5220,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],20:b5:c6:4c:23:40,JioAirfiberA6
1751119823578000000,-2.44140625e-7,-86,5560,[WPA-PSK-TKIP][WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS][WPS],d0:1e:1d:51:87:57,Gajanan Super Market-5G
1751119823578000000,-2.44140625e-7,-87,2412,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],e8:6e:44:5b:74:53,Airtel_mana_3751
1751119823578000000,-2.44140625e-7,-76,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],16:32:51:37:45:12,Airfiber-maharana15
1751119823578000000,-2.44140625e-7,-81,5785,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],16:32:51:37:45:13,Airfiber-maharana15
1751119823578000000,-2.44140625e-7,-91,2427,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],38:94:e0:f1:5b:cd,Ganesh krupa
1751119823578000000,-2.44140625e-7,-81,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7e:b0:de:a7:1d:cb,Paradise Girls Hostel
1751119823578000000,-2.44140625e-7,-88,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],9a:b8:bc:0b:af:45,Galaxy A21sAF4
1751119823578000000,-2.44140625e-7,-89,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS],f0:a9:c5:07:7d:64,W03_3948231885
1751119823578000000,-2.44140625e-7,-68,2427,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],0a:1d:40:52:df:5d,realme NARZO 70 Turbo 5G 0b2f
1751119823578000000,-2.44140625e-7,-74,2442,[ESS],04:95:e6:ea:8c:e8,Tenda_EA8CE8
1751119823578000000,-2.44140625e-7,-89,2447,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],98:9d:b2:32:c2:73,AKKI
1751119863598000000,40.020000244140626,-92,2427,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],54:a2:45:02:01:38,New Pooja
1751119863598000000,40.020000244140626,-85,2457,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],e4:c3:2a:65:d8:04,Daksh
1751119863598000000,40.020000244140626,-86,2422,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],8c:c7:c3:22:fc:46,Gurukurpa
1751119863598000000,40.020000244140626,-83,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],fe:bf:77:22:b3:e1,Shivaji_The_Boss
1751119863598000000,40.020000244140626,-83,2422,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],d0:1e:1d:51:87:5b,Gajanan Super Market-2.4G
1751119863598000000,40.020000244140626,-78,5240,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],20:0c:86:ab:ae:a2,Airtel_Ramesh digital
1751119863598000000,40.020000244140626,-69,2462,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],20:0c:86:ab:ae:a1,Airtel_Ramesh digital
1751119863598000000,40.020000244140626,-87,5745,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],3c:46:45:1a:12:18,Airtel_Xstreamfi
1751119863598000000,40.020000244140626,-84,2432,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],8c:c7:c3:24:a3:bb,FTTH-A3BB
1751119863598000000,40.020000244140626,-81,5220,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7e:b0:de:a7:1d:cc,Paradise Girls Hostel
1751119863598000000,40.020000244140626,-83,5560,[WPA-PSK-TKIP][WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS][WPS],d0:1e:1d:51:87:57,Gajanan Super Market-5G
1751119863598000000,40.020000244140626,-80,2412,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],e8:6e:44:5b:74:53,Airtel_mana_3751
1751119863598000000,40.020000244140626,-87,5180,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],b4:a7:c6:20:57:5a,Airtel_dhru_9129
1751119863598000000,40.020000244140626,-51,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],16:32:51:37:45:12,Airfiber-maharana15
1751119863598000000,40.020000244140626,-40,5785,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],16:32:51:37:45:13,Airfiber-maharana15
1751119863598000000,40.020000244140626,-81,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],e4:c3:2a:a4:b2:14,TP-Link_B214
1751119863598000000,40.020000244140626,-92,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],d6:cf:f6:35:ce:77,vivo Y58 5G
1751119863598000000,40.020000244140626,-85,2447,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:0d:17:6f:f5:b0,|| Shrinivasa Govinda ||
1751119863598000000,40.020000244140626,-69,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7e:b0:de:a7:1d:cb,Paradise Girls Hostel
1751119863598000000,40.020000244140626,-87,2412,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],30:4f:75:56:3c:b8,Airtel_Virus Yi$?@f@#
1751119903594000000,80.01599975585937,-87,2457,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],e4:c3:2a:65:d8:04,Daksh
1751119903594000000,80.01599975585937,-88,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3e:f8:7e:ba:54:88,Swapnil_j0.0
1751119903594000000,80.01599975585937,-87,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],ec:75:0c:26:67:36,आदेश बाबा
1751119903594000000,80.01599975585937,-87,2462,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],20:0c:86:ab:ae:a1,Airtel_Ramesh digital
1751119903594000000,80.01599975585937,-90,2452,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],aa:42:a1:d5:9a:48,(hidden SSID)
1751119903594000000,80.01599975585937,-88,2462,[WPA-PSK-TKIP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],54:a2:45:02:09:60,Tarini
1751119903594000000,80.01599975585937,-90,2412,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],1c:18:4a:c6:cb:90,SSID1-2.4G
1751119903594000000,80.01599975585937,-86,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],ec:75:0c:25:e1:ec,Tp link 430 
1751119903594000000,80.01599975585937,-89,2452,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],aa:42:a1:c5:9a:48,(hidden SSID)
1751119903594000000,80.01599975585937,-90,5805,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],20:b5:c6:4c:36:78,JioAirfiberA6
1751119903594000000,80.01599975585937,-85,5785,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],16:32:51:37:45:13,Airfiber-maharana15
1751119903594000000,80.01599975585937,-89,2462,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],a6:80:b3:51:1d:bc,OnePlus Nord 2T 5G
1751119903594000000,80.01599975585937,-80,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],e4:c3:2a:a4:b2:14,TP-Link_B214
1751119903594000000,80.01599975585937,-88,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],d6:cf:f6:35:ce:77,vivo Y58 5G
1751119903594000000,80.01599975585937,-86,2447,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:0d:17:6f:f5:b0,|| Shrinivasa Govinda ||
1751119903594000000,80.01599975585937,-91,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],50:91:e3:2e:8d:ea,Sandip
1751119903594000000,80.01599975585937,-82,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7e:b0:de:a7:1d:cb,Paradise Girls Hostel
1751119903594000000,80.01599975585937,-89,2442,[ESS],04:95:e6:ea:8c:e8,Tenda_EA8CE8
1751119943595000000,120.017,-79,5220,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],aa:42:a1:d5:9a:4a,(hidden SSID)
1751119943595000000,120.017,-78,5805,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],6c:22:f7:37:54:4d,Airtel_Suyogoffice
1751119943595000000,120.017,-91,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:44:89:7f:08:b0,Diparadise 
1751119943595000000,120.017,-86,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],f2:ed:b8:36:f7:92,(hidden SSID)
1751119943595000000,120.017,-65,2412,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],30:4f:75:6a:78:98,Airtel_Xtreme 2298
1751119943595000000,120.017,-70,5220,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],30:4f:75:6a:78:99,Airtel_Xtreme 2298
1751119943595000000,120.017,-83,5745,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],f4:27:56:42:74:01,Airtel_EMPIRE
1751119943595000000,120.017,-89,2412,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],e8:6e:44:5b:74:53,Airtel_mana_3751
1751119943595000000,120.017,-83,2437,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],f4:27:56:42:74:00,Airtel_EMPIRE
1751119943595000000,120.017,-78,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],6e:22:f7:47:54:49,(hidden SSID)
1751119943595000000,120.017,-82,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7e:b0:de:a7:1d:cb,Paradise Girls Hostel
1751119943595000000,120.017,-89,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],d8:0d:17:5f:66:12,SANKET
1751119943595000000,120.017,-79,5220,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],a8:42:a1:85:9a:4a,TPLINK5G
1751119943595000000,120.017,-85,2437,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],f0:ed:b8:06:f7:91,Airtel_vrus_7927
1751119943595000000,120.017,-87,5180,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],f0:ed:b8:06:f7:92,Airtel_vrus_7927
1751119943595000000,120.017,-84,2452,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],a8:42:a1:85:9a:48,TPLink9A48
1751119943595000000,120.017,-89,2462,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],30:4f:75:9a:d2:b0,Airtel_Advay_8553
1751119943595000000,120.017,-82,2452,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],aa:42:a1:d5:9a:48,(hidden SSID)
1751119943595000000,120.017,-86,2417,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],ec:75:0c:25:e1:ec,Tp link 430 
1751119943595000000,120.017,-86,2452,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],aa:42:a1:c5:9a:48,(hidden SSID)
1751119943595000000,120.017,-88,2412,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],d6:f9:35:dd:5c:e0,moto g85 5G_6970
1751119943595000000,120.017,-89,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],16:32:51:37:45:12,Airfiber-maharana15
1751119943595000000,120.017,-76,2462,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],14:cb:49:03:2e:44,4G MIFI_2E44
1751119943595000000,120.017,-78,2462,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],6c:22:f7:37:54:49,Airtel_Suyogoffice
1751119943595000000,120.017,-90,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],52:3a:b4:8e:e3:56,realme 8
1751119943595000000,120.017,-90,2442,[ESS],04:95:e6:ea:8c:e8,Tenda_EA8CE8
