time,seconds_elapsed,temperature
1751120019626000000,1.012999755859375,32.1
1751120020656000000,2.043,32
1751120021655000000,3.042,32
1751120022655000000,4.042,32
1751120023656000000,5.043,31.9
1751120024659000000,6.046,31.9
1751120025658000000,7.044999755859375,31.9
1751120026658000000,8.044999755859376,31.9
1751120027659000000,9.046,31.9
1751120028661000000,10.048,31.9
1751120029664000000,11.051,31.9
1751120030665000000,12.052,31.9
1751120031663000000,13.05,31.9
1751120032664000000,14.051,31.9
1751120033665000000,15.052,31.8
1751120034665000000,16.052,31.8
1751120035665000000,17.052,31.8
1751120036667000000,18.054,31.8
1751120037667000000,19.054,31.8
1751120038670000000,20.057000244140625,31.8
1751120039669000000,21.056,31.8
1751120040668000000,22.055,31.8
1751120041669000000,23.056,31.8
1751120042669000000,24.056,31.8
1751120043670000000,25.057000244140625,31.7
1751120044673000000,26.06,31.7
1751120045673000000,27.06,31.7
1751120046673000000,28.06,31.7
1751120047673000000,29.06,31.7
1751120048675000000,30.062,31.7
1751120049675000000,31.062,31.7
1751120050678000000,32.06500024414063,31.7
1751120051677000000,33.064,31.7
1751120052676000000,34.063,31.7
1751120053678000000,35.06500024414063,31.7
1751120054677000000,36.064,31.7
1751120055678000000,37.06500024414063,31.7
1751120056678000000,38.06500024414063,31.7
1751120057687000000,39.074,31.7
1751120058728000000,40.115,31.7
1751120059678000000,41.06500024414063,31.7
1751120060681000000,42.068,31.7
1751120061679000000,43.066,31.7
1751120062680000000,44.067,31.7
1751120063682000000,45.06899975585937,31.7
1751120064681000000,46.068,31.7
1751120065683000000,47.07,31.7
1751120066683000000,48.07,31.7
1751120067687000000,49.074,31.7
1751120068683000000,50.07,31.7
1751120069683000000,51.07,31.7
1751120070684000000,52.071,31.7
1751120071684000000,53.071,31.7
1751120072685000000,54.072,31.7
1751120073687000000,55.074,31.7
1751120074686000000,56.07300024414062,31.7
1751120075689000000,57.076,31.7
1751120076690000000,58.076999755859376,31.7
1751120077691000000,59.078,31.7
1751120078689000000,60.076,31.7
1751120079688000000,61.075,31.7
1751120080689000000,62.076,31.7
1751120081689000000,63.076,31.7
1751120082692000000,64.079,31.7
1751120083691000000,65.078,31.7
1751120084692000000,66.079,31.7
1751120085693000000,67.08,31.7
1751120086696000000,68.083,31.7
1751120087696000000,69.083,31.7
1751120088698000000,70.08499975585937,31.7
1751120089704000000,71.091,31.7
1751120090701000000,72.088,31.7
1751120091700000000,73.087,31.7
1751120092701000000,74.088,31.7
1751120093702000000,75.08900024414062,31.7
1751120094701000000,76.088,31.7
1751120095702000000,77.08900024414062,31.7
1751120096702000000,78.08900024414062,31.7
1751120097703000000,79.09,31.8
1751120098704000000,80.091,31.8
1751120099704000000,81.091,31.8
1751120100706000000,82.09299975585938,31.8
1751120101705000000,83.092,31.8
1751120102706000000,84.09299975585938,31.8
1751120103709000000,85.096,31.8
1751120104708000000,86.095,31.8
1751120105710000000,87.09700024414063,31.8
1751120106708000000,88.095,31.8
1751120107713000000,89.1,31.8
1751120108710000000,90.09700024414063,31.8
1751120109712000000,91.099,31.8
1751120110712000000,92.099,31.8
1751120111715000000,93.102,31.8
1751120112714000000,94.10099975585938,31.8
1751120113716000000,95.103,31.8
1751120114717000000,96.104,31.8
1751120115718000000,97.10500024414063,31.8
1751120116720000000,98.107,31.8
1751120117719000000,99.106,31.8
1751120118719000000,100.106,31.8
1751120119721000000,101.108,31.8
1751120120720000000,102.107,31.8
1751120121723000000,103.11,31.8
1751120122724000000,104.111,31.8
1751120123727000000,105.114,31.8
1751120124723000000,106.11,31.8
1751120125723000000,107.11,31.8
1751120126723000000,108.11,31.8
1751120127751000000,109.138,31.8
1751120128836000000,110.223,31.8
1751120129836000000,111.223,31.8
1751120130836000000,112.223,31.8
1751120131836000000,113.223,31.8
1751120132837000000,114.224,31.8
1751120133839000000,115.226,31.8
1751120134838000000,116.22500024414063,31.8
1751120135839000000,117.226,31.8
1751120136839000000,118.226,31.8
1751120137839000000,119.226,31.8
1751120138839000000,120.226,31.8
