time,seconds_elapsed,dBFS
1751120018614000000,0.001000244140625,-160
1751120018779000000,0.166,-160
1751120018887000000,0.274,-50
1751120019008000000,0.395,-42
1751120019122000000,0.508999755859375,-32
1751120019240000000,0.627,-36
1751120019357000000,0.744,-36
1751120019475000000,0.862,-35
1751120019592000000,0.979,-43
1751120128536000000,109.923,-39
1751120128679000000,110.066,-70
1751120128786000000,110.17299975585938,-65
1751120128894000000,110.28100024414063,-65
1751120129001000000,110.388,-62
1751120129114000000,110.50099975585937,-66
1751120129215000000,110.602,-69
1751120129326000000,110.71300024414063,-70
1751120129434000000,110.82099975585938,-76
1751120129547000000,110.934,-40
1751120129652000000,111.039,-65
1751120129764000000,111.151,-55
1751120129871000000,111.258,-69
1751120129979000000,111.366,-71
1751120130089000000,111.476,-56
1751120130200000000,111.587,-59
1751120130306000000,111.69299975585938,-53
1751120130416000000,111.803,-69
1751120130526000000,111.91300024414062,-65
1751120130640000000,112.027,-70
1751120130743000000,112.13,-57
1751120130853000000,112.24,-55
1751120130962000000,112.34899975585938,-46
1751120131071000000,112.458,-62
1751120131181000000,112.568,-50
1751120131290000000,112.67699975585937,-49
1751120131414000000,112.80100024414062,-70
1751120131525000000,112.912,-53
1751120131642000000,113.02899975585937,-57
1751120131759000000,113.146,-70
1751120131877000000,113.264,-66
1751120131998000000,113.38500024414063,-69
1751120132111000000,113.498,-76
1751120132229000000,113.616,-69
1751120132347000000,113.734,-69
1751120132464000000,113.851,-54
1751120132583000000,113.97,-71
1751120132701000000,114.088,-74
1751120132818000000,114.20499975585938,-74
1751120132934000000,114.32100024414062,-70
1751120133053000000,114.44,-62
1751120133169000000,114.556,-66
1751120133294000000,114.68100024414062,-70
1751120133408000000,114.795,-52
1751120133522000000,114.90899975585937,-46
1751120133640000000,115.027,-64
1751120133756000000,115.143,-74
1751120133875000000,115.262,-75
1751120133994000000,115.38099975585938,-77
1751120134110000000,115.49700024414062,-55
1751120134228000000,115.615,-68
1751120134345000000,115.732,-64
1751120134464000000,115.851,-80
1751120134581000000,115.968,-84
1751120134694000000,116.08100024414063,-54
1751120134815000000,116.202,-64
1751120134931000000,116.318,-79
1751120135049000000,116.436,-76
1751120135167000000,116.554,-79
1751120135283000000,116.67,-56
1751120135401000000,116.788,-65
1751120135519000000,116.906,-74
1751120135636000000,117.023,-82
1751120135756000000,117.143,-82
1751120135875000000,117.262,-54
1751120135991000000,117.378,-66
1751120136108000000,117.495,-81
1751120136224000000,117.611,-79
1751120136342000000,117.72900024414062,-67
1751120136459000000,117.846,-63
1751120136575000000,117.962,-71
1751120136692000000,118.079,-76
1751120136810000000,118.19699975585938,-71
1751120136927000000,118.314,-64
1751120137047000000,118.434,-70
1751120137162000000,118.54899975585937,-70
1751120137279000000,118.666,-77
1751120137398000000,118.78500024414062,-77
1751120137517000000,118.904,-61
1751120137634000000,119.02099975585938,-65
1751120137751000000,119.138,-63
1751120137869000000,119.256,-77
1751120137986000000,119.37299975585937,-67
1751120138103000000,119.49,-61
1751120138223000000,119.61,-66
1751120138343000000,119.73,-57
1751120138455000000,119.842,-75
1751120138573000000,119.96,-75
1751120138691000000,120.078,-61
1751120138809000000,120.196,-73
1751120138926000000,120.31300024414062,-67
